kanji,furigana,romaji,meaning,section
ああ,ああ,aa,Ah!,あ
会う,あう,au,to meet,あ
青い,あおい,aoi,blue,あ
赤い,あかい,akai,red,あ
明るい,あかるい,akarui,"light, bright",あ
秋,あき,aki,"autumn, fall",あ
開く,あく,aku,open,あ
開ける,あける,akeru,to open,あ
あげる,あげる,ageru,to give,あ
朝,あさ,asa,morning,あ
朝ご飯,あさごはん,asagohan,breakfast,あ
あさって,あさって,asatte,the day after tomorrow,あ
足,あし,ashi,"leg, foot",あ
明日,あした,ashita,tomorrow,あ
あそこ,あそこ,asoko,over there,あ
遊ぶ,あそぶ,asobu,to play,あ
温かい,あたたかい,atatakai,warm,あ
頭,あたま,atama,head,あ
新しい,あたらしい,atarashii,new,あ
あちら,あちら,achira,over there (polite),あ
暑い,あつい,atsui,hot (air),あ
厚い,あつい,atsui,thick,あ
後,あと,ato,"later, after",あ
貴方,あなた,anata,you,あ
兄,あに,ani,older brother,あ
姉,あね,ane,older sister,あ
あの,あの,ano,that (over there),あ
あの,あの,ano,"well, then",あ
アパート,アパート,apaato,apartment,あ
浴びる,あびる,abiru,to take a shower,あ
危ない,あぶない,abunai,dangerous,あ
甘い,あまい,amai,sweet,あ
あまり,あまり,amari,not so,あ
雨,あめ,ame,rain,あ
洗う,あらう,arau,to wash,あ
有る,ある,aru,"to be, to exist",あ
ある,ある,aru,to possess,あ
歩く,あるく,aruku,to walk,あ
あれ,あれ,are,that one,あ
良い,いい / よい,"ii, yoi",good,い
いいえ,いいえ,iie,no,い
言う,いう,iu,"to say, to tell",い
家,いえ,ie,"house, home",い
行く,いく,iku,to go,い
いくつ,いくつ,ikutsu,"how many, how old",い
いくら,いくら,ikura,how much,い
池,いけ,ike,pond,い
医者,いしゃ,isha,doctor,い
椅子,いす,isu,chair,い
忙しい,いそがしい,isogashii,to be busy,い
痛い,いたい,itai,to be painful,い
一,いち,ichi,one,い
一日,いちにち,ichinichi,one day,い
一番,いちばん,ichiban,"No. 1, the best, the first",い
いつ,いつ,itsu,when,い
五日,いつか,itsuka,"the 5th day of the month, 5 days",い
一緒,いっしょ,issho,together,い
五つ,いつつ,itsutsu,five,い
いつも,いつも,itsumo,always,い
今,いま,ima,now,い
意味,いみ,imi,meaning,い
妹,いもうと,imouto,someone's younger sister,い
いや,いや,iya,"not likable, unpleasant",い
入口,いりぐち,iriguchi,entrance,い
いる,いる,iru,"need, must have, be required",い
いる,いる,iru,to exist,い
入れる,いれる,ireru,"to insert, to put in",い
色,いろ,iro,color,い
色々,いろいろ,iroiro,various,い
上,うえ,ue,"top, on, above",う
後ろ,うしろ,ushiro,"back, rear, behind",う
薄い,うすい,usui,thin,う
歌,うた,uta,song,う
歌う,うたう,utau,to sing,う
内,うち,uchi,home,う
生まれる,うまれる,umareru,to be born,う
海,うみ,umi,sea,う
売る,うる,uru,to sell,う
上着,うわぎ,uwagi,"coat, jacket",う
絵,え,e,picture,え
映画,えいが,eiga,movie,え
映画館,えいがかん,eigakan,cinema,え
英語,えいご,eigo,English language,え
ええ,ええ,ee,"Yes, I see",え
駅,えき,eki,station,え
エレベータ,エレベータ,erebeeta,elevator,え
円,えん,en,Yen,え
鉛筆,えんぴつ,enpitsu,pencil,え
御,お,o,honorific prefix,お
美味しい,おいしい,oishii,"tasty, delicious",お
大きい,おおきい,ookii,big,お
おおぜい,おおぜい,oozei,many people,お
お母さん,おかあさん,okaasan,my own mother,お
お菓子,おかし,okashi,"confectionary, cake",お
お金,おかね,okane,money,お
起きる,おきる,okiru,"to get up, to stand up",お
置く,おく,oku,"to put, to place",お
奥さん,おくさん,okusan,someone's wife,お
送る,おくる,okuru,to send,お
お酒,おさけ,osake,"alcohol, sake",お
お皿,おさら,osara,plate,お
伯父さん,おじさん,ojisan,uncle,お
おじいさん,おじいさん,ojiisan,grand father,お
押す,おす,osu,to push,お
遅い,おそい,osoi,"late, slow",お
お茶,おちゃ,ocha,tea,お
お手洗い,おてあらい,otearai,"toilet, lavatory",お
お父さん,おとうさん,otousan,father,お
弟,おとうと,otouto,someone's younger brother,お
男,おとこ,otoko,man,お
男の子,おとこのこ,otokonoko,boy,お
一昨日,おととい,ototoi,the day before yesterday,お
一昨年,おととし,ototoshi,the year before last,お
大人,おとな,otona,adult,お
お腹,おなか,onaka,stomach,お
同じ,おなじ,onaji,same,お
お兄さん,おにいさん,oniisan,someone's elder brother,お
お姉さん,おねえさん,oneesan,someone's elder sister,お
伯母さん,おばさん,obasan,aunt,お
おばあさん,おばあさん,obaasan,grandmother,お
お弁当,おべんとう,obentou,lunchbox,お
覚える,おぼえる,oboeru,"to memorize, to remember",お
重い,おもい,omoi,heavy,お
面白い,おもしろい,omoshiroi,"interesting, funny",お
泳ぐ,およぐ,oyogu,to swim,お
降りる,おりる,oriru,to get off,お
終わる,おわる,owaru,to end,お
音楽,おんがく,ongaku,music,お
女,おんな,onna,woman,お
女の子,おんなのこ,onnanoko,girl,お
〜回,〜かい,~kai,~times,か
〜階,〜かい,~kai,~floor,か
外国,がいこく,gaikoku,foreign country,か
外国人,がいこくじん,gaikokujin,foreigner,か
会社,かいしゃ,kaisha,"company, enterprise",か
階段,かいだん,kaidan,stairs,か
買物,かいもの,kaimono,shopping,か
買う,かう,kau,to buy,か
返す,かえす,kaesu,to return an object,か
帰る,かえる,kaeru,to return home,か
顔,かお,kao,face,か
かかる,かかる,kakaru,"to take time, money",か
鍵,かぎ,kagi,key,か
書く,かく,kaku,to write,か
学生,がくせい,gakusei,student,か
〜か月,〜かげつ,~kagetsu,~ number of months,か
かける,かける,kakeru,to wear,か
かける,かける,kakeru,to make a phone call,か
傘,かさ,kasa,umbrella,か
貸す,かす,kasu,to lend,か
風,かぜ,kaze,wind,か
風邪,かぜ,kaze,a cold,か
家族,かぞく,kazoku,family,か
方,かた,kata,person (polite),か
片仮名,かたかな,katakana,Katakana,か
一月,いちがつ,ichigatsu,January,か
二月,にがつ,nigatsu,February,か
三月,さんがつ,sangatsu,March,か
四月,しがつ,shigatsu,April,か
五月,ごがつ,gogatsu,May,か
六月,ろくがつ,rokugatsu,June,か
七月,しちがつ,shichigatsu,July,か
八月,はちがつ,hachigatsu,August,か
九月,くがつ,kugatsu,September,か
十月,じゅうがつ,juugatsu,October,か
十一月,じゅういちがつ,juuichigatsu,November,か
十二月,じゅうにがつ,juunigatsu,December,か
学校,がっこう,gakkou,school,か
角,かど,kado,corner,か
家内,かない,kanai,my wife,か
鞄,かばん,kaban,bag,か
花瓶,かびん,kabin,vase,か
冠る,かぶる,kaburu,to put on a hat,か
紙,かみ,kami,paper,か
カメラ,かめら,kamera,camera,か
火曜日,かようび,kayoubi,Tuesday,か
辛い,からい,karai,"hot, spicy",か
体,からだ,karada,body,か
借りる,かりる,kariru,to borrow,か
〜がります,〜がります,~garimasu,3rd person wants to,か
軽い,かるい,karui,light (not heavy),か
カレンダー,カレンダー,karendaa,calendar,か
川,かわ,kawa,river,か
〜側,〜がわ,~gawa,~side,か
可愛い,かわいい,kawaii,"cute, pretty",か
漢字,かんじ,kanji,Kanji character,か
木,き,ki,tree,き
黄色い,きいろい,kiiroi,yellow,き
消える,きえる,kieru,"to go out, to vanish",き
聞く,きく,kiku,"to hear, to listen, to ask",き
北,きた,kita,north,き
ギター,ギター,gitaa,guitar,き
汚い,きたない,kitanai,dirty,き
喫茶店,きっさてん,kissaten,coffee shop,き
切手,きって,kitte,stamp,き
切符,きっぷ,kippu,ticket,き
昨日,きのう,kinou,yesterday,き
九,きゅう,kyuu,nine,き
牛肉,ぎゅうにく,gyuuniku,beef,き
牛乳,ぎゅうにゅう,gyuunyuu,milk,き
今日,きょう,kyou,today,き
教室,きょうしつ,kyoushitsu,class room,き
兄弟,きょうだい,kyoudai,siblings,き
去年,きょねん,kyonen,last year,き
嫌い,きらい,kirai,"unpleasant, not likable",き
切る,きる,kiru,to cut,き
着る,きる,kiru,"to wear, to put on",き
来る,くる,kuru,to come,き
きれい,きれい,kirei,"beautiful, clean",き
キロ,キロ,kiro,kg,き
キロ,キロ,kiro,km,き
銀行,ぎんこう,ginkou,bank,き
金曜日,きんようび,kinyoubi,Friday,き
九,く,ku,nine,く
薬,くすり,kusuri,medicine,く
下さい,ください,kudasai,give me…,く
果物,くだもの,kudamono,fruit,く
口,くち,kuchi,mouth,く
靴,くつ,kutsu,shoe,く
靴下,くつした,kutsushita,socks,く
国,くに,kuni,country,く
曇り,くもり,kumori,cloudy weather,く
暗い,くらい,kurai,dark,く
ぐらい,ぐらい,gurai,about,く
クラス,クラス,kurasu,class,く
グラム,グラム,guramu,gram,く
車,くるま,kuruma,car,く
黒い,くろい,kuroi,black,く
今朝,けさ,kesa,this morning,け
消す,けす,kesu,"to turn off, switch off",け
けっこう,けっこう,kekkou,"fine, all right",け
結婚,けっこん,kekkon,marriage,け
月曜日,げつようび,getsuyoubi,Monday,け
玄関,げんかん,genkan,entrance of a house,け
元気,げんき,genki,"vigor, health, vitality",け
〜個,〜こ,~ko,counter for small objects,こ
五,ご,go,five,こ
〜語,〜ご,~go,~ language,こ
公園,こうえん,kouen,"park, large garden",こ
交番,こうばん,kouban,police box,こ
声,こえ,koe,voice,こ
コート,コート,kooto,coat,こ
ここ,ここ,koko,here,こ
午後,ごご,gogo,afternoon,こ
九日,ここのか,kokonoka,"9th day of a month, 9 days",こ
九つ,ここのつ,kokonotsu,nine,こ
ご主人,ごしゅじん,goshujin,someone else's husband,こ
午前,ごぜん,gozen,"morning, a.m.",こ
答える,こたえる,kotaeru,to answer,こ
こちら,こちら,kochira,"this side, this place",こ
コップ,コップ,koppu,"cup, glass",こ
今年,ことし,kotoshi,this year,こ
言葉,ことば,kotoba,"phrase, language",こ
子供,こども,kodomo,child,こ
